dialog_act_type,utt
situation-eat,今日、新橋食いに行こうよ
situation-eat,明日、新宿食いに行こうよ
situation-eat,明日、相模大野食いに行こうよ
situation-eat,今日、新橋食いに行こうよ
situation-eat,明日、鶴見食いに行こうよ
situation-eat,明日、空き幅や食いに行こうよ
situation-eat,今日、川崎食いに行こうよ
situation-eat,今日、中野食いに行こうよ
situation-eat,今日、北千住食いに行こうよ
situation-eat,明日、新橋食いに行こうよ
situation-eat,今日、綾瀬食いに行こうよ
situation-eat,今日、渋谷食いに行こうよ
situation-eat,今日、北千住食いに行こうよ
situation-eat,明日、戸塚食いに行こうよ
situation-eat,明日、大船食いに行こうよ
situation-eat,明日、中野食いに行こうよ
situation-eat,明日、池袋食いに行こうよ
situation-eat,今日、平塚食いに行こうよ
situation-eat,明日、新宿食いに行こうよ
situation-eat,明日、空き幅や食いに行こうよ
situation-eat,今日、相模大野食いに行こうよ
situation-eat,今日、戸塚食いに行こうよ
situation-eat,今日、中野食いに行こうよ
situation-eat,今日、空き幅や食いに行こうよ
situation-eat,明日、大船食いに行こうよ
situation-eat,今日、東京食いに行こうよ
situation-eat,明日、池袋食いに行こうよ
situation-eat,明日、本厚木食いに行こうよ
situation-eat,明日、北千住食いに行こうよ
situation-eat,明日、藤沢食いに行こうよ
situation-eat,明日、本厚木食いに行こうよ
situation-eat,今日、新橋食いに行こうよ
situation-eat,今日、海老名食いに行こうよ
situation-eat,今日、戸塚食いに行こうよ
situation-eat,明日、北千住食いに行こうよ
situation-eat,明日、渋谷食いに行こうよ
situation-eat,今日、中野食いに行こうよ
situation-eat,今日、武蔵小杉食いに行こうよ
situation-eat,今日、有楽町食いに行こうよ
situation-eat,明日、鶴見食いに行こうよ
situation-eat,明日、横浜食いに行こうよ
situation-eat,今日、藤沢食いに行こうよ
situation-eat,今日、有楽町食いに行こうよ
situation-eat,明日、平塚食いに行こうよ
situation-eat,今日、登戸食いに行こうよ
situation-eat,明日、横浜食いに行こうよ
situation-eat,今日、品川食いに行こうよ
situation-eat,今日、品川食いに行こうよ
situation-eat,今日、中野食いに行こうよ
situation-eat,明日、高田馬場食いに行こうよ
situation-eat,明日、有楽町食いに行こうよ
situation-eat,今日、新橋食いに行こうよ
situation-eat,今日、川崎食いに行こうよ
situation-eat,今日、有楽町食いに行こうよ
situation-eat,今日、綾瀬食いに行こうよ
situation-eat,今日、綾瀬食いに行こうよ
situation-eat,今日、品川食いに行こうよ
situation-eat,今日、本厚木食いに行こうよ
situation-eat,明日、平塚食いに行こうよ
situation-eat,今日、上野食いに行こうよ
situation-eat,今日、大船食いに行こうよ
situation-eat,明日、本厚木食いに行こうよ
situation-eat,今日、上野食いに行こうよ
situation-eat,明日、品川食いに行こうよ
situation-eat,明日、藤沢食いに行こうよ
situation-eat,明日、新橋食いに行こうよ
situation-eat,明日、本厚木食いに行こうよ
situation-eat,明日、有楽町食いに行こうよ
situation-eat,明日、川崎食いに行こうよ
situation-eat,明日、川崎食いに行こうよ
situation-eat,今日、本厚木食いに行こうよ
situation-eat,明日、相模大野食いに行こうよ
situation-eat,今日、新橋食いに行こうよ
situation-eat,明日、戸塚食いに行こうよ
situation-eat,明日、登戸食いに行こうよ
situation-eat,今日、池袋食いに行こうよ
situation-eat,今日、横浜食いに行こうよ
situation-eat,明日、平塚食いに行こうよ
situation-eat,今日、上野食いに行こうよ
situation-eat,明日、品川食いに行こうよ
situation-eat,今日、海老名食いに行こうよ
situation-eat,明日、綾瀬食いに行こうよ
situation-eat,今日、本厚木食いに行こうよ
situation-eat,今日、池袋食いに行こうよ
situation-eat,今日、川崎食いに行こうよ
situation-eat,今日、北千住食いに行こうよ
situation-eat,今日、新橋食いに行こうよ
situation-eat,今日、渋谷食いに行こうよ
situation-eat,明日、池袋食いに行こうよ
situation-eat,明日、空き幅や食いに行こうよ
situation-eat,明日、登戸食いに行こうよ
situation-eat,今日、横浜食いに行こうよ
situation-eat,明日、綾瀬食いに行こうよ
situation-eat,明日、中野食いに行こうよ
situation-eat,明日、新橋食いに行こうよ
situation-eat,明日、横浜食いに行こうよ
situation-eat,明日、藤沢食いに行こうよ
situation-eat,明日、高田馬場食いに行こうよ
situation-eat,明日、川崎食いに行こうよ
situation-eat,明日、登戸食いに行こうよ
situation-eat,明日、東京食べに行こうよ
situation-eat,明日、海老名食べに行こうよ
